CustomerID,FullName,Segment,Region,Country
C00001,Aarav Joshi,Consumer,Central,India
C00002,Saanvi Sharma,Consumer,North,India
C00003,Saanvi Kumar,Small Business,East,India
C00004,Aditya Khan,Consumer,West,India
C00005,Ananya Malhotra,Consumer,Central,India
C00006,Ankit Dutta,Consumer,West,India
C00007,Rahul Jain,Consumer,West,India
C00008,Neha Mukherjee,Consumer,North,India
C00009,Vihaan Verma,Consumer,East,India
C00010,Vihaan Mehta,Consumer,Central,India
C00011,Priya Patel,Consumer,East,India
C00012,Priya Mehta,Corporate,North,India
C00013,Priya Malhotra,Consumer,Central,India
C00014,Aarav Kumar,Small Business,South,India
C00015,Sai Mukherjee,Consumer,South,India
C00016,Karan Verma,Consumer,North,India
C00017,Karan Reddy,Small Business,West,India
C00018,Isha Mukherjee,Consumer,Central,India
C00019,Siddharth Patel,Consumer,South,India
C00020,Vivaan Joshi,Consumer,North,India
C00021,Riya Verma,Consumer,West,India
C00022,Manish Khan,Consumer,Central,India
C00023,Aditya Gupta,Consumer,North,India
C00024,Saanvi Iyer,Consumer,Central,India
C00025,Saanvi Joshi,Consumer,Central,India
C00026,Aditya Mukherjee,Consumer,Central,India
C00027,Manish Das,Small Business,South,India
C00028,Riya Mehta,Consumer,South,India
C00029,Isha Thomas,Consumer,North,India
C00030,Aarav Thomas,Consumer,Central,India
C00031,Vihaan Kumar,Consumer,Central,India
C00032,Aisha Patel,Small Business,North,India
C00033,Saanvi Chowdhury,Consumer,West,India
C00034,Rohit Nair,Consumer,Central,India
C00035,Aarav Malhotra,Consumer,North,India
C00036,Arjun Reddy,Consumer,North,India
C00037,Rohit Patel,Consumer,Central,India
C00038,Ananya Das,Consumer,East,India
C00039,Manish Dutta,Consumer,North,India
C00040,Aditya Mukherjee,Corporate,North,India
C00041,Aarav Das,Corporate,East,India
C00042,Sai Thomas,Consumer,West,India
C00043,Rohit Sharma,Consumer,South,India
C00044,Rohit Verma,Corporate,Central,India
C00045,Rohit Patel,Consumer,North,India
C00046,Isha Chowdhury,Corporate,North,India
C00047,Neha Jain,Consumer,North,India
C00048,Neha Malhotra,Corporate,West,India
C00049,Tanvi Patel,Small Business,South,India
C00050,Sai Gupta,Corporate,North,India
C00051,Sai Das,Corporate,West,India
C00052,Saanvi Reddy,Consumer,North,India
C00053,Karan Verma,Corporate,South,India
C00054,Ananya Thomas,Consumer,South,India
C00055,Saanvi Sharma,Consumer,West,India
C00056,Riya Reddy,Corporate,East,India
C00057,Neha Khan,Consumer,Central,India
C00058,Riya Sharma,Consumer,East,India
C00059,Sai Joshi,Small Business,East,India
C00060,Vivaan Singh,Consumer,East,India
C00061,Riya Mukherjee,Consumer,Central,India
